Step 9600/900000, Total Loss: 4.1881, Mel Loss: 1.4330, Mel PostNet Loss: 1.4340, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3210, Binarization Loss: 0.0000
Step 9700/900000, Total Loss: 4.0720, Mel Loss: 1.5095, Mel PostNet Loss: 1.5147, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0478, Binarization Loss: 0.0000
Step 9800/900000, Total Loss: 4.4359, Mel Loss: 1.6268, Mel PostNet Loss: 1.6238, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1853, Binarization Loss: 0.0000
Step 9900/900000, Total Loss: 4.7695, Mel Loss: 1.7143, Mel PostNet Loss: 1.7096, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3456, Binarization Loss: 0.0000
Step 10000/900000, Total Loss: 4.6304, Mel Loss: 1.5948, Mel PostNet Loss: 1.5923, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4433, Binarization Loss: 0.0000
Step 10100/900000, Total Loss: 4.0369, Mel Loss: 1.5088, Mel PostNet Loss: 1.5052, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.0229, Binarization Loss: 0.0000
Step 10200/900000, Total Loss: 4.0719, Mel Loss: 1.3091, Mel PostNet Loss: 1.3030, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4598, Binarization Loss: 0.0000
Step 10300/900000, Total Loss: 4.1109, Mel Loss: 1.4758, Mel PostNet Loss: 1.4713, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1638, Binarization Loss: 0.0000
Step 10400/900000, Total Loss: 3.9161, Mel Loss: 1.3877, Mel PostNet Loss: 1.3740, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.1544, Binarization Loss: 0.0000
Step 10500/900000, Total Loss: 4.0056, Mel Loss: 1.3435, Mel PostNet Loss: 1.3418, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.3203, Binarization Loss: 0.0000
